sensor,value,datetime
HUM,68.0,2019-01-03 23:30:00+00:00
PRES,1019.77,2019-01-03 23:30:00+00:00
TC,12.334320000000002,2019-01-04 00:30:00+00:00
HUM,66.0,2019-01-04 00:30:00+00:00
PRES,1020.08,2019-01-04 00:30:00+00:00
TC,13.301063999999998,2019-01-04 01:30:00+00:00
HUM,65.0,2019-01-04 01:30:00+00:00
PRES,1020.53,2019-01-04 01:30:00+00:00
TC,14.64006,2019-01-04 02:30:00+00:00
HUM,62.0,2019-01-04 02:30:00+00:00
PRES,1021.01,2019-01-04 02:30:00+00:00
TC,16.734672,2019-01-04 03:30:00+00:00
HUM,56.00000000000001,2019-01-04 03:30:00+00:00
PRES,1021.15,2019-01-04 03:30:00+00:00
TC,19.551564000000003,2019-01-04 04:30:00+00:00
HUM,47.0,2019-01-04 04:30:00+00:00
PRES,1020.96,2019-01-04 04:30:00+00:00
TC,22.301784,2019-01-04 05:30:00+00:00
HUM,40.0,2019-01-04 05:30:00+00:00
PRES,1020.72,2019-01-04 05:30:00+00:00
TC,24.36306,2019-01-04 06:30:00+00:00
HUM,35.0,2019-01-04 06:30:00+00:00
PRES,1020.22,2019-01-04 06:30:00+00:00
TC,25.763172,2019-01-04 07:30:00+00:00
HUM,31.0,2019-01-04 07:30:00+00:00
PRES,1019.26,2019-01-04 07:30:00+00:00
TC,26.024304,2019-01-04 08:30:00+00:00
HUM,30.0,2019-01-04 08:30:00+00:00
PRES,1018.32,2019-01-04 08:30:00+00:00
TC,25.413144,2019-01-04 09:30:00+00:00
HUM,30.0,2019-01-04 09:30:00+00:00
PRES,1017.78,2019-01-04 09:30:00+00:00
TC,24.47418,2019-01-04 10:30:00+00:00
HUM,33.0,2019-01-04 10:30:00+00:00
PRES,1017.62,2019-01-04 10:30:00+00:00
TC,23.496323999999998,2019-01-04 11:30:00+00:00
HUM,35.0,2019-01-04 11:30:00+00:00
PRES,1017.64,2019-01-04 11:30:00+00:00
TC,22.268448,2019-01-04 12:30:00+00:00
HUM,37.0,2019-01-04 12:30:00+00:00
PRES,1017.96,2019-01-04 12:30:00+00:00
TC,20.468304,2019-01-04 13:30:00+00:00
HUM,40.0,2019-01-04 13:30:00+00:00
PRES,1018.72,2019-01-04 13:30:00+00:00
